도서명,저자,발행처,발행년도,자료유형,소장처,등록일
오늘부터 회사에서 AI 합니다: 업스테이지 AI 교육 부문 저 :업스테이지가 알려주는 성공적인 AI 서비스 도입을 위해 알아야 할 모든 것,이활석,Digital Book(디지털북스),2025,단행본,서울도서관,20251203
"(회사에서 바로 통하는) 실무 엑셀 데이터 활용+분석 :개념은 쉽게 기능은 빠르게 실무활용은 바로: 챗GPT 활용법 수록, 모든 버전 사용 가능",김경자,한빛미디어,2025,단행본,서울도서관,20251203
디자인 트렌드 아카이브 포토샵 & 일러스트레이터 :트렌디한 효과부터 최신 AI 기능까지 디자인 실무 감각 트레이닝,김혜주 지음,Jpub(제이펍),2025,단행본,서울도서관,20251203
"(진짜 쉬운) 자료 구조와 알고리즘 :상식이 통하면 알고리즘도 통한다 ,파이썬 편",제이 웬그로우 지음,인사이트,2025,단행본,서울도서관,20251203
(따라 하며 배우는) 유니티 게임 개발 :프로그래밍 없이도 누구나 쉽게 만드는 2D & 3D 게임,아라카와 다쿠야,한빛미디어,2025,단행본,서울도서관,20251203
(회사에서 바로 통하는) 실무 엑셀 :모든 버전 사용 가능: 개념은 쉽게 기능은 빠르게 실무활용은 바로,한은숙 지음,한빛미디어,2025,단행본,서울도서관,20251203
"노야의 어디서든 3D 모델링 :with 노마드 스컬프: 아이패드 하나로 브러시 제작부터 캐릭터 모델링, 아트토이 출력까지",김민석 지음,비제이퍼블릭,2025,단행본,서울도서관,20251203
주름 때문이야 :서영 그림책 [점자라벨자료],서영 글·그림,국립장애인도서관,2025,단행본,서울도서관,20251203
단짝 구함 :설찌 그림책 [점자라벨자료],설찌 지음,국립장애인도서관,2025,단행본,서울도서관,20251203
나는 컵이 아니야! [점자라벨자료],나다울 글,토끼섬,2024,단행본,서울도서관,20251203
똥파리가 고래를 만났어 [점자라벨자료],백명식 글·그림,리틀씨앤톡 : 씨앤톡,2022,단행본,서울도서관,20251203
"친구를 세어 보아요 :하나, 둘, 셋! [점자라벨자료]",살구나무 글·그림,여우고개,2024,단행본,서울도서관,20251203
후우후우 [점자라벨자료],최지예 글·그림,시공주니어 : 시공사,2022,단행본,서울도서관,20251203
기억은행 [점자라벨자료],최은영 글,나무의말,2025,단행본,서울도서관,20251203
내 이름은 따오기 :이름 많은 길고양이 이야기 [점자라벨자료],꼼꼼 지음,냉이꽃,2023,단행본,서울도서관,20251203
곰 할머니의 잠 가게 :양선 그림책 [점자라벨자료],양선 글·그림,달리,2023,단행본,서울도서관,20251203
우린 해치지 않아 [점자라벨자료],이상옥 글,산하,2023,단행본,서울도서관,20251203
개굴개굴 고래고래 :베트남 옛 이야기 : 박현민 그림책 [점자라벨자료],박현민 글·그림,국립아시아문화전당재단,2024,단행본,서울도서관,20251203
그래서 뭐? [점자라벨자료] =So what?,소니아 쿠데르 글,Jpic : 제이포럼,2024,단행본,서울도서관,20251203
조개는 왜 껍데기가 있을까? [점자라벨자료],멜리사 스튜어트 글,다섯수레,2020,단행본,서울도서관,20251203
마음먹은 고양이 [점자라벨자료],강경호 글,나무말미,2024,단행본,서울도서관,20251203
맙소사 오늘부터? :최현주 그림책 [점자라벨자료],최현주 지음,봄날의곰,2023,단행본,서울도서관,20251203
"두껍아, 두껍아! 새 길 줄게 [점자라벨자료]",유백순 글,리틀씨앤톡,2023,단행본,서울도서관,20251203
"좋아, 싫어 대신 뭐라고 말하지? :어린이 감정 공부 그림책 [점자라벨자료]",송현지 글씀,이야기공간,2023,단행본,서울도서관,20251203
책이 꼼지락꼼지락 [점자라벨자료],김성범 글,미래i아이 : 미래M&B,2011,단행본,서울도서관,20251203
등대와 엄마고양이 [점자라벨자료],이철환 글·그림,이지북,2024,단행본,서울도서관,20251203
메리는 입고 싶은 옷을 입어요 [점자라벨자료],키스 네글리 지음,원더박스,2019,단행본,서울도서관,20251203
토끼의 재판 [점자라벨자료],박윤규 글,봄날의곰,2023,단행본,서울도서관,20251203
파란 거인과 작은 사람들 :이정국 그림책 [점자라벨자료],이정국 [지음],그림책도시,2024,단행본,서울도서관,20251203
바다의 꽃비 [점자라벨자료],스케노 아즈사 지음,곰세마리,2024,단행본,서울도서관,20251203
꽁꽁나무 [점자라벨자료],이현정 그림·글,걸음동무 : 해솔,2024,단행본,서울도서관,20251203
"아빠, 그거 알아? :최인경 그림책 [점자라벨자료]",최인경 글·그림,달구북,2023,단행본,서울도서관,20251203
마녀에게 내민 작은 손 [점자라벨자료],에스테르 뒤플로 글,라이브리안,2023,단행본,서울도서관,20251203
넌 나의 행운이야 [점자라벨자료],프란체스카 피로네 글·그림,Fika Junior(피카주니어),2024,단행본,서울도서관,20251203
제주신화 이야기 [점자자료],김순이 글,제주돌문화공원,2025,단행본,서울도서관,20251203
(국립생태원 사계절) 자생식물 이야기 [큰글자도서],박수지,국립생태원,2025,단행본,서울도서관,20251203
꼭꼭 숨어라 :서울우리소리박물관 전래동요 점자책 [점·묵자 혼용도서] =Hide and seek,서울역사박물관 [편],서울우리소리박물관,2025,단행본,서울도서관,20251203
